,tweet type,A_handle,A_follower_count,A_following_count,A_listed_count,A_posts,A_date,A_text,A_network_feature_1,A_network_feature_2,A_network_feature_3,B_handle,B_follower_count,B_following_count,B_listed_count,B_posts,B_date,B_text,B_network_feature_1,B_network_feature_2,B_network_feature_3,A-B_network_feature_3,A-B_listed_count,A-B_follower_count,cleaned_A_text,A_sentiment_score,A_sentiment,cleaned_B_text,B_sentiment_score,B_sentiment
1552,RT,IS58520479,72,66,0,84193,Wed Sep 04 15:29:26 +0000 2019,RT @LetaHong: “The juxtaposition of the two women highlights that underneath the glamorous surface of one of the world’s largest economies…,3,713.683,0.122,LetaHong,39893,6769,850,87599,Wed May 04 13:42:03 +0000 2011,“The juxtaposition of the two women highlights that underneath the glamorous surface of one of the world’s largest… https://t.co/Td08OhgLE6,59,44301.984,0.12,0.0020000000000000018,-850,-39821,"['underneath', '’', 'juxtaposition', 'rt', 'letahong', 'glamorous', 'world', 'two', 'surface', 'women', 'largest', 'one', 'highlights', '“', 'economies…']",0.5106,Positive,"['one', 'httpstcotd08ohgle6', 'highlights', 'largest…', 'underneath', '“', '’', 'juxtaposition', 'surface', 'two', 'glamorous', 'world', 'women']",0.5106,Positive
1553,RT,rollypoly31,518,317,1,269895,Sat Sep 29 01:52:50 +0000 2018,RT @FoxNews: 'PICK A SIDE': @NikkiHaley rips into American-born skier competing for China at the Beijing Olympics. https://t.co/NnB72COXek…,1,0.0,0.105,FoxNews,20655184,263,70373,450759,Sat Mar 17 19:01:26 +0000 2007,'PICK A SIDE': @NikkiHaley rips into American-born skier competing for China at the Beijing Olympics.… https://t.co/4DFeHnFY0u,210,531337.517,0.13,-0.02500000000000001,-70372,-20654666,"['nikkihaley', 'rips', 'americanborn', 'httpstconnb72coxek…', 'competing', 'beijing', 'china', 'skier', 'olympics', 'rt', 'side', 'pick', 'foxnews']",0.0,Neutral,"['rips', 'nikkihaley', 'americanborn', 'competing', 'beijing', 'china', 'skier', 'olympics…', 'httpstco4dfehnfy0u', 'side', 'pick']",0.0,Neutral
1554,RT,IS58520479,72,66,0,84193,Wed Sep 04 15:29:26 +0000 2019,RT @nytimesbusiness: Two women have dominated Chinese social media during the Beijing Winter Olympics. https://t.co/mbREq3nfgw,3,713.683,0.122,nytimesbusiness,836537,463,15361,242006,Wed Mar 21 14:49:39 +0000 2007,Two women have dominated Chinese social media during the Beijing Winter Olympics. https://t.co/mbREq3nfgw,46,75419.77,0.132,-0.010000000000000009,-15361,-836465,"['media', 'httpstcombreq3nfgw', 'nytimesbusiness', 'social', 'beijing', 'dominated', 'olympics', 'chinese', 'rt', 'two', 'winter', 'women']",0.0,Neutral,"['media', 'httpstcombreq3nfgw', 'social', 'beijing', 'dominated', 'olympics', 'chinese', 'two', 'winter', 'women']",0.0,Neutral
1555,RT,IS58520479,72,66,0,84193,Wed Sep 04 15:29:26 +0000 2019,"RT @nytimesbusiness: The juxtaposition of Eileen Gu and the ""chained woman"" exposes the jarring poverty and widespread abuse of women’s rig…",3,713.683,0.122,nytimesbusiness,836537,463,15361,242006,Wed Mar 21 14:49:39 +0000 2007,"The juxtaposition of Eileen Gu and the ""chained woman"" exposes the jarring poverty and widespread abuse of women’s… https://t.co/fZdYE7gR5r",46,75419.77,0.132,-0.010000000000000009,-15361,-836465,"['’', 'juxtaposition', 'rt', 'widespread', 'woman', 'chained', 'abuse', 'women', 'nytimesbusiness', 'gu', 'poverty', 'jarring', 'exposes', 'rig…', 'eileen']",-0.8402,Negative,"['poverty', 'widespread', 'jarring', '’', 'juxtaposition', 'woman', 's…', 'httpstcofzdye7gr5r', 'exposes', 'gu', 'chained', 'abuse', 'eileen', 'women']",-0.8402,Negative
1556,RT,Oreo52,1180,1492,1,58534,Sat May 02 20:51:22 +0000 2009,RT @FoxNews: PICK A SIDE: Nikki Haley rips into American-born skier competing for China https://t.co/0moiE0wDDj,1,0.0,0.105,FoxNews,20655184,263,70373,450759,Sat Mar 17 19:01:26 +0000 2007,PICK A SIDE: Nikki Haley rips into American-born skier competing for China https://t.co/0moiE0wDDj,210,531337.517,0.13,-0.02500000000000001,-70372,-20654004,"['rips', 'americanborn', 'haley', 'competing', 'china', 'skier', 'nikki', 'httpstco0moie0wddj', 'rt', 'side', 'pick', 'foxnews']",0.0,Neutral,"['rips', 'americanborn', 'haley', 'competing', 'china', 'skier', 'nikki', 'httpstco0moie0wddj', 'side', 'pick']",0.0,Neutral
1557,RT,IS58520479,72,66,0,84193,Wed Sep 04 15:29:26 +0000 2019,RT @nytimes: Two women have dominated Chinese social media during the Olympics: the gold medal skier Eileen Gu and a mother of eight who wa…,3,713.683,0.122,nytimes,51639533,869,212965,463079,Fri Mar 02 20:41:42 +0000 2007,Two women have dominated Chinese social media during the Olympics: the gold medal skier Eileen Gu and a mother of e… https://t.co/fZ8XqJQPHt,100,424837.963,0.149,-0.026999999999999996,-212965,-51639461,"['skier', 'chinese', 'rt', 'medal', 'wa…', 'mother', 'media', 'gold', 'eight', 'two', 'women', 'social', 'gu', 'dominated', 'olympics', 'eileen', 'nytimes']",0.4767,Positive,"['skier', 'chinese', 'medal', 'mother', 'media', 'gold', 'two', 'women', 'httpstcofz8xqjqpht', 'gu', 'dominated', 'olympics', 'e…', 'eileen', 'social']",0.4767,Positive
1558,Tweet,MikeZeigle,3528,5002,1277,204728,Thu Apr 30 01:37:35 +0000 2009,How much money is Eileen Gu making from the Winter Olympics? https://t.co/d3MgJuOYEn via @Yahoo,2,0.0,0.0,MikeZeigle,51639533,869,212965,463079,Fri Mar 02 20:41:42 +0000 2007,Two women have dominated Chinese social media during the Olympics: the gold medal skier Eileen Gu and a mother of e… https://t.co/fZ8XqJQPHt,2,0.0,0.0,0.0,-211688,-51636005,"['yahoo', 'via', 'olympics', 'much', 'making', 'httpstcod3mgjuoyen', 'gu', 'winter', 'money', 'eileen']",0.0,Neutral,"['skier', 'chinese', 'medal', 'mother', 'media', 'gold', 'two', 'women', 'httpstcofz8xqjqpht', 'gu', 'dominated', 'olympics', 'e…', 'eileen', 'social']",0.4767,Positive
1559,RT,Grace_mo_cn,5591,4881,17,23104,Tue Mar 23 00:59:39 +0000 2021,RT @DeepADiver2: Eileen Gu has become the role model for mixed race Chinese living outside of China. The message is clear - be proud of Chi…,2,2118.0,0.088,DeepADiver2,964,697,19,32918,Wed Sep 30 03:09:13 +0000 2020,Eileen Gu has become the role model for mixed race Chinese living outside of China. The message is clear - be proud… https://t.co/MPleI5nDhd,10,11305.338,0.105,-0.017,-2,4627,"['race', 'model', 'message', 'china', 'chinese', 'rt', 'deepadiver2', 'proud', 'mixed', 'clear', 'living', 'gu', 'outside', 'role', 'chi…', 'become', 'eileen']",0.6908,Positive,"['race', 'model', 'message', 'china', 'chinese', 'proud…', 'mixed', 'clear', 'living', 'httpstcomplei5ndhd', 'gu', 'outside', 'role', 'eileen', 'become']",0.3818,Positive
1560,RT,LewisYo71848914,34,175,0,1816,Wed Dec 02 18:06:51 +0000 2020,"RT @blackpillphil: If DictatorPhil were in charge, Eileen Gu would be kicked out of the US and never be permitted to return again. 

Over T…",1,0.0,0.0,blackpillphil,193,51,3,1084,Thu Dec 13 04:34:32 +0000 2012,"If DictatorPhil were in charge, Eileen Gu would be kicked out of the US and never be permitted to return again. 

Over The Fucking Wall!",4,1.0,0.001,-0.001,-3,-159,"['t…', 'kicked', 'rt', 'would', 'permitted', 'dictatorphil', 'us', 'gu', 'never', 'charge', 'blackpillphil', 'return', 'eileen']",0.0,Neutral,"['kicked', 'would', 'permitted', 'fucking', 'dictatorphil', 'us', 'gu', 'never', 'charge', 'return', 'eileen', 'wall']",0.0,Neutral
1561,RT,2020_victory,2418,688,5,27427,Fri Aug 05 04:53:19 +0000 2016,RT @FoxNews: PICK A SIDE: Nikki Haley rips into American-born skier competing for China https://t.co/0moiE0wDDj,1,0.0,0.105,FoxNews,20655184,263,70373,450759,Sat Mar 17 19:01:26 +0000 2007,PICK A SIDE: Nikki Haley rips into American-born skier competing for China https://t.co/0moiE0wDDj,210,531337.517,0.13,-0.02500000000000001,-70368,-20652766,"['rips', 'americanborn', 'haley', 'competing', 'china', 'skier', 'nikki', 'httpstco0moie0wddj', 'rt', 'side', 'pick', 'foxnews']",0.0,Neutral,"['rips', 'americanborn', 'haley', 'competing', 'china', 'skier', 'nikki', 'httpstco0moie0wddj', 'side', 'pick']",0.0,Neutral
1562,RT,Ee6NuZkfOljmWrJ,24,105,1,8237,Wed Jan 20 12:40:52 +0000 2021,RT @FoxNews: 'PICK A SIDE': @NikkiHaley rips into American-born skier competing for China at the Beijing Olympics. https://t.co/NnB72COXek…,1,0.0,0.105,FoxNews,20655184,263,70373,450759,Sat Mar 17 19:01:26 +0000 2007,'PICK A SIDE': @NikkiHaley rips into American-born skier competing for China at the Beijing Olympics.… https://t.co/4DFeHnFY0u,210,531337.517,0.13,-0.02500000000000001,-70372,-20655160,"['nikkihaley', 'rips', 'americanborn', 'httpstconnb72coxek…', 'competing', 'beijing', 'china', 'skier', 'olympics', 'rt', 'side', 'pick', 'foxnews']",0.0,Neutral,"['rips', 'nikkihaley', 'americanborn', 'competing', 'beijing', 'china', 'skier', 'olympics…', 'httpstco4dfehnfy0u', 'side', 'pick']",0.0,Neutral
1563,Tweet,jbjasper,690,1857,5,8450,Mon Feb 23 00:18:28 +0000 2009,Nikki Haley slams Eileen Gu: Olympic athletes must choose to represent 'freedom' or 'human rights abuses' https://t.co/1cyhR4iiEJ #FoxNews,2,0.0,0.0,jbjasper,20655184,263,70373,450759,Sat Mar 17 19:01:26 +0000 2007,'PICK A SIDE': @NikkiHaley rips into American-born skier competing for China at the Beijing Olympics.… https://t.co/4DFeHnFY0u,2,0.0,0.0,0.0,-70368,-20654494,"['slams', 'haley', 'human', 'abuses', 'olympic', 'httpstco1cyhr4iiej', 'nikki', 'must', 'choose', 'represent', 'rights', 'gu', 'foxnews', 'freedom', 'eileen', 'athletes']",-0.5574,Negative,"['rips', 'nikkihaley', 'americanborn', 'competing', 'beijing', 'china', 'skier', 'olympics…', 'httpstco4dfehnfy0u', 'side', 'pick']",0.0,Neutral
1564,Tweet,LowellSavoy,754,1372,3,71798,Thu Jan 15 13:07:39 +0000 2009,"Yeppers 

Nikki Haley slams Eileen Gu: Olympic athletes must choose to represent 'freedom' or 'human rights abuses'

https://t.co/7VqLRt6E4F",2,0.0,0.0,LowellSavoy,20655184,263,70373,450759,Sat Mar 17 19:01:26 +0000 2007,'PICK A SIDE': @NikkiHaley rips into American-born skier competing for China at the Beijing Olympics.… https://t.co/4DFeHnFY0u,2,0.0,0.0,0.0,-70370,-20654430,"['slams', 'haley', 'human', 'yeppers', 'abuses', 'olympic', 'httpstco7vqlrt6e4f', 'nikki', 'must', 'choose', 'represent', 'rights', 'gu', 'freedom', 'eileen', 'athletes']",-0.5574,Negative,"['rips', 'nikkihaley', 'americanborn', 'competing', 'beijing', 'china', 'skier', 'olympics…', 'httpstco4dfehnfy0u', 'side', 'pick']",0.0,Neutral
1565,RT,Bambamsuspicion,7,66,1,664,Mon Dec 27 20:39:46 +0000 2021,RT @FoxNews: PICK A SIDE: Nikki Haley rips into American-born skier competing for China https://t.co/0moiE0wDDj,1,0.0,0.105,FoxNews,20655184,263,70373,450759,Sat Mar 17 19:01:26 +0000 2007,PICK A SIDE: Nikki Haley rips into American-born skier competing for China https://t.co/0moiE0wDDj,210,531337.517,0.13,-0.02500000000000001,-70372,-20655177,"['rips', 'americanborn', 'haley', 'competing', 'china', 'skier', 'nikki', 'httpstco0moie0wddj', 'rt', 'side', 'pick', 'foxnews']",0.0,Neutral,"['rips', 'americanborn', 'haley', 'competing', 'china', 'skier', 'nikki', 'httpstco0moie0wddj', 'side', 'pick']",0.0,Neutral
1566,Tweet,NextShark,13265,536,220,12026,Mon May 13 07:08:19 +0000 2013,"Eileen Gu’s comment advocating VPN workaround for Chinese internet censorship is in turn censored

https://t.co/ZcHBCXqdus",2,0.0,0.0,NextShark,20655184,263,70373,450759,Sat Mar 17 19:01:26 +0000 2007,PICK A SIDE: Nikki Haley rips into American-born skier competing for China https://t.co/0moiE0wDDj,2,0.0,0.0,0.0,-70153,-20641919,"['comment', 'vpn', 'httpstcozchbcxqdus', 'workaround', '’', 'chinese', 'censored', 'censorship', 'turn', 'advocating', 'gu', 'eileen', 'internet']",-0.1531,Negative,"['rips', 'americanborn', 'haley', 'competing', 'china', 'skier', 'nikki', 'httpstco0moie0wddj', 'side', 'pick']",0.0,Neutral
1567,RT,depictbooks,191,208,2,9026,Sat Sep 19 18:48:53 +0000 2015,RT @FoxNews: PICK A SIDE: Nikki Haley rips into American-born skier competing for China https://t.co/0moiE0wDDj,1,0.0,0.105,FoxNews,20655184,263,70373,450759,Sat Mar 17 19:01:26 +0000 2007,PICK A SIDE: Nikki Haley rips into American-born skier competing for China https://t.co/0moiE0wDDj,210,531337.517,0.13,-0.02500000000000001,-70371,-20654993,"['rips', 'americanborn', 'haley', 'competing', 'china', 'skier', 'nikki', 'httpstco0moie0wddj', 'rt', 'side', 'pick', 'foxnews']",0.0,Neutral,"['rips', 'americanborn', 'haley', 'competing', 'china', 'skier', 'nikki', 'httpstco0moie0wddj', 'side', 'pick']",0.0,Neutral
1568,Tweet,DrZamen,1414,461,2,9086,Fri Jul 03 20:59:19 +0000 2020,"#Eileen_Gu is a traitor.

As Nikki Haley says, you must choose to represent #freedom or #HumanRights abuse.… https://t.co/ta8gWVilTB",2,0.0,0.0,DrZamen,20655184,263,70373,450759,Sat Mar 17 19:01:26 +0000 2007,PICK A SIDE: Nikki Haley rips into American-born skier competing for China https://t.co/0moiE0wDDj,2,0.0,0.0,0.0,-70371,-20653770,"['httpstcota8gwviltb', 'haley', 'eileengu', 'nikki', 'must', 'choose', 'represent', 'says', 'traitor', 'abuse…', 'humanrights', 'freedom']",0.0,Neutral,"['rips', 'americanborn', 'haley', 'competing', 'china', 'skier', 'nikki', 'httpstco0moie0wddj', 'side', 'pick']",0.0,Neutral
1569,RT,viriyabot,1196,3836,19,753826,Thu Jul 14 12:47:03 +0000 2016,RT @AP: Swiss freestyle skier Mathilde Gremaud edged out China's Eileen Gu for the gold medal in Tuesday's slopestyle final at the #Beijing…,6,6009.381,0.121,AP,15486090,6839,102745,311274,Fri Jun 26 21:48:52 +0000 2009,Swiss freestyle skier Mathilde Gremaud edged out China's Eileen Gu for the gold medal in Tuesday's slopestyle final… https://t.co/3LUaUcvuAY,54,185303.931,0.147,-0.025999999999999995,-102726,-15484894,"['gremaud', 'skier', 'edged', 'slopestyle', 'freestyle', 'rt', 'medal', 'gold', 'final', 'swiss', 'ap', 'gu', 'chinas', 'mathilde', 'tuesdays', 'beijing…', 'eileen']",0.5859,Positive,"['gremaud', 'skier', 'edged', 'slopestyle', 'freestyle', 'medal', 'httpstco3luaucvuay', 'gold', 'swiss', 'gu', 'chinas', 'final…', 'mathilde', 'tuesdays', 'eileen']",0.5859,Positive
1570,Tweet,AP,15486090,6839,102745,311274,Fri Jun 26 21:48:52 +0000 2009,Swiss freestyle skier Mathilde Gremaud edged out China's Eileen Gu for the gold medal in Tuesday's slopestyle final… https://t.co/3LUaUcvuAY,54,185303.931,0.147,AP,15486090,6839,102745,311274,Fri Jun 26 21:48:52 +0000 2009,Swiss freestyle skier Mathilde Gremaud edged out China's Eileen Gu for the gold medal in Tuesday's slopestyle final… https://t.co/3LUaUcvuAY,54,185303.931,0.147,0.0,0,0,"['gremaud', 'skier', 'edged', 'slopestyle', 'freestyle', 'medal', 'httpstco3luaucvuay', 'gold', 'swiss', 'gu', 'chinas', 'final…', 'mathilde', 'tuesdays', 'eileen']",0.5859,Positive,"['gremaud', 'skier', 'edged', 'slopestyle', 'freestyle', 'medal', 'httpstco3luaucvuay', 'gold', 'swiss', 'gu', 'chinas', 'final…', 'mathilde', 'tuesdays', 'eileen']",0.5859,Positive
1571,Tweet,kesewahfund,991,757,46,1465,Sat Aug 01 19:07:02 +0000 2015,LIFESTYLE: Eileen Gu’s Coach refers to her as an “opportunistic” money grabber who “renounced” the US for a 1.4 bil… https://t.co/zHPAXVN4Dd,3,0.0,0.0,kesewahfund,15486090,6839,102745,311274,Fri Jun 26 21:48:52 +0000 2009,Swiss freestyle skier Mathilde Gremaud edged out China's Eileen Gu for the gold medal in Tuesday's slopestyle final… https://t.co/3LUaUcvuAY,3,0.0,0.0,0.0,-102699,-15485099,"['grabber', '’', 'coach', '14', 'bil…', 'money', '”', 'refers', 'opportunistic', 'us', 'gu', 'lifestyle', 'renounced', '“', 'httpstcozhpaxvn4dd', 'eileen']",0.0,Neutral,"['gremaud', 'skier', 'edged', 'slopestyle', 'freestyle', 'medal', 'httpstco3luaucvuay', 'gold', 'swiss', 'gu', 'chinas', 'final…', 'mathilde', 'tuesdays', 'eileen']",0.5859,Positive
1572,RT,mcatatbeta,636,1080,1,203935,Sat Feb 18 21:07:03 +0000 2017,RT @FoxNews: PICK A SIDE: Nikki Haley rips into American-born skier competing for China https://t.co/0moiE0wDDj,1,0.0,0.105,FoxNews,20655184,263,70373,450759,Sat Mar 17 19:01:26 +0000 2007,PICK A SIDE: Nikki Haley rips into American-born skier competing for China https://t.co/0moiE0wDDj,210,531337.517,0.13,-0.02500000000000001,-70372,-20654548,"['rips', 'americanborn', 'haley', 'competing', 'china', 'skier', 'nikki', 'httpstco0moie0wddj', 'rt', 'side', 'pick', 'foxnews']",0.0,Neutral,"['rips', 'americanborn', 'haley', 'competing', 'china', 'skier', 'nikki', 'httpstco0moie0wddj', 'side', 'pick']",0.0,Neutral
1573,RT,YingLi11714062,244,600,0,12569,Sat Jun 08 07:11:42 +0000 2019,"RT @LiYuan6: Two women have dominated Chinese social media during the Beijing Olympics.

One is gold medal skier Eileen Gu. The other is a…",1,0.0,0.115,LiYuan6,38316,1184,948,8224,Thu Oct 20 16:55:22 +0000 2011,"Two women have dominated Chinese social media during the Beijing Olympics.

One is gold medal skier Eileen Gu. The… https://t.co/l2u1vnQniG",215,592770.542,0.145,-0.029999999999999985,-948,-38072,"['skier', 'chinese', 'rt', 'medal', 'media', 'beijing', 'gold', 'liyuan6', 'two', 'women', 'gu', 'one', 'a…', 'dominated', 'olympics', 'eileen', 'social']",0.4767,Positive,"['skier', 'chinese', 'medal', 'media', 'beijing', 'gold', 'two', 'women', 'httpstcol2u1vnqnig', 'the…', 'gu', 'one', 'dominated', 'olympics', 'eileen', 'social']",0.4767,Positive
1574,RT,GonzalMart,32,126,0,953,Mon Jul 20 01:38:13 +0000 2020,RT @FoxNews: PICK A SIDE: Nikki Haley rips into American-born skier competing for China https://t.co/0moiE0wDDj,1,0.0,0.105,FoxNews,20655184,263,70373,450759,Sat Mar 17 19:01:26 +0000 2007,PICK A SIDE: Nikki Haley rips into American-born skier competing for China https://t.co/0moiE0wDDj,210,531337.517,0.13,-0.02500000000000001,-70373,-20655152,"['rips', 'americanborn', 'haley', 'competing', 'china', 'skier', 'nikki', 'httpstco0moie0wddj', 'rt', 'side', 'pick', 'foxnews']",0.0,Neutral,"['rips', 'americanborn', 'haley', 'competing', 'china', 'skier', 'nikki', 'httpstco0moie0wddj', 'side', 'pick']",0.0,Neutral
1575,RT,BryannaCoxMesha,1190,275,4,1351,Thu Aug 09 09:03:50 +0000 2018,RT @FoxNews: PICK A SIDE: Nikki Haley rips into American-born skier competing for China https://t.co/0moiE0wDDj,1,0.0,0.105,FoxNews,20655184,263,70373,450759,Sat Mar 17 19:01:26 +0000 2007,PICK A SIDE: Nikki Haley rips into American-born skier competing for China https://t.co/0moiE0wDDj,210,531337.517,0.13,-0.02500000000000001,-70369,-20653994,"['rips', 'americanborn', 'haley', 'competing', 'china', 'skier', 'nikki', 'httpstco0moie0wddj', 'rt', 'side', 'pick', 'foxnews']",0.0,Neutral,"['rips', 'americanborn', 'haley', 'competing', 'china', 'skier', 'nikki', 'httpstco0moie0wddj', 'side', 'pick']",0.0,Neutral
1576,Tweet,JamesHu29812484,1494,4004,4,16667,Sat May 04 13:43:51 +0000 2013,"California-born skier Eileen Gu, who won Olympic gold for China, gushed on Instagram about the ease of ducking soci… https://t.co/JA4aHvSO18",2,0.0,0.0,JamesHu29812484,20655184,263,70373,450759,Sat Mar 17 19:01:26 +0000 2007,PICK A SIDE: Nikki Haley rips into American-born skier competing for China https://t.co/0moiE0wDDj,2,0.0,0.0,0.0,-70369,-20653690,"['olympic', 'californiaborn', 'skier', 'china', 'httpstcoja4ahvso18', 'instagram', 'gold', 'soci…', 'ease', 'gu', 'gushed', 'ducking', 'eileen']",0.7351,Positive,"['rips', 'americanborn', 'haley', 'competing', 'china', 'skier', 'nikki', 'httpstco0moie0wddj', 'side', 'pick']",0.0,Neutral
1577,RT,Bunny79167773,45,59,0,52904,Thu Oct 31 03:55:47 +0000 2019,RT @LetaHong: “The juxtaposition of the two women highlights that underneath the glamorous surface of one of the world’s largest economies…,4,1959.407,0.129,LetaHong,39893,6769,850,87599,Wed May 04 13:42:03 +0000 2011,“The juxtaposition of the two women highlights that underneath the glamorous surface of one of the world’s largest… https://t.co/Td08OhgLE6,59,44301.984,0.12,0.009000000000000008,-850,-39848,"['underneath', '’', 'juxtaposition', 'rt', 'letahong', 'glamorous', 'world', 'two', 'surface', 'women', 'largest', 'one', 'highlights', '“', 'economies…']",0.5106,Positive,"['one', 'httpstcotd08ohgle6', 'highlights', 'largest…', 'underneath', '“', '’', 'juxtaposition', 'surface', 'two', 'glamorous', 'world', 'women']",0.5106,Positive
1578,RT,Bunny79167773,45,59,0,52904,Thu Oct 31 03:55:47 +0000 2019,RT @nytimesbusiness: Two women have dominated Chinese social media during the Beijing Winter Olympics. https://t.co/mbREq3nfgw,4,1959.407,0.129,nytimesbusiness,836537,463,15361,242006,Wed Mar 21 14:49:39 +0000 2007,Two women have dominated Chinese social media during the Beijing Winter Olympics. https://t.co/mbREq3nfgw,46,75419.77,0.132,-0.0030000000000000027,-15361,-836492,"['media', 'httpstcombreq3nfgw', 'nytimesbusiness', 'social', 'beijing', 'dominated', 'olympics', 'chinese', 'rt', 'two', 'winter', 'women']",0.0,Neutral,"['media', 'httpstcombreq3nfgw', 'social', 'beijing', 'dominated', 'olympics', 'chinese', 'two', 'winter', 'women']",0.0,Neutral
1579,RT,yukoh777,117,619,6,84238,Wed Sep 26 17:45:24 +0000 2012,RT @FoxNews: PICK A SIDE: Nikki Haley rips into American-born skier competing for China https://t.co/0moiE0wDDj,1,0.0,0.105,FoxNews,20655184,263,70373,450759,Sat Mar 17 19:01:26 +0000 2007,PICK A SIDE: Nikki Haley rips into American-born skier competing for China https://t.co/0moiE0wDDj,210,531337.517,0.13,-0.02500000000000001,-70367,-20655067,"['rips', 'americanborn', 'haley', 'competing', 'china', 'skier', 'nikki', 'httpstco0moie0wddj', 'rt', 'side', 'pick', 'foxnews']",0.0,Neutral,"['rips', 'americanborn', 'haley', 'competing', 'china', 'skier', 'nikki', 'httpstco0moie0wddj', 'side', 'pick']",0.0,Neutral
1580,RT,Bunny79167773,45,59,0,52904,Thu Oct 31 03:55:47 +0000 2019,"RT @nytimesbusiness: The juxtaposition of Eileen Gu and the ""chained woman"" exposes the jarring poverty and widespread abuse of women’s rig…",4,1959.407,0.129,nytimesbusiness,836537,463,15361,242006,Wed Mar 21 14:49:39 +0000 2007,"The juxtaposition of Eileen Gu and the ""chained woman"" exposes the jarring poverty and widespread abuse of women’s… https://t.co/fZdYE7gR5r",46,75419.77,0.132,-0.0030000000000000027,-15361,-836492,"['’', 'juxtaposition', 'rt', 'widespread', 'woman', 'chained', 'abuse', 'women', 'nytimesbusiness', 'gu', 'poverty', 'jarring', 'exposes', 'rig…', 'eileen']",-0.8402,Negative,"['poverty', 'widespread', 'jarring', '’', 'juxtaposition', 'woman', 's…', 'httpstcofzdye7gr5r', 'exposes', 'gu', 'chained', 'abuse', 'eileen', 'women']",-0.8402,Negative
1581,RT,Bunny79167773,45,59,0,52904,Thu Oct 31 03:55:47 +0000 2019,RT @nytimes: Two women have dominated Chinese social media during the Olympics: the gold medal skier Eileen Gu and a mother of eight who wa…,4,1959.407,0.129,nytimes,51639533,869,212965,463079,Fri Mar 02 20:41:42 +0000 2007,Two women have dominated Chinese social media during the Olympics: the gold medal skier Eileen Gu and a mother of e… https://t.co/fZ8XqJQPHt,100,424837.963,0.149,-0.01999999999999999,-212965,-51639488,"['skier', 'chinese', 'rt', 'medal', 'wa…', 'mother', 'media', 'gold', 'eight', 'two', 'women', 'social', 'gu', 'dominated', 'olympics', 'eileen', 'nytimes']",0.4767,Positive,"['skier', 'chinese', 'medal', 'mother', 'media', 'gold', 'two', 'women', 'httpstcofz8xqjqpht', 'gu', 'dominated', 'olympics', 'e…', 'eileen', 'social']",0.4767,Positive
1582,RT,youngGroupon55,91,317,0,8848,Sun Jun 11 18:09:16 +0000 2017,"RT @MarkAmesExiled: Totally not Yellow Peril racist of CNN and other mainstream media to treason-bait Eileen Gu, but keep respectfully quie…",2,366.439,0.09,MarkAmesExiled,48800,1347,763,48982,Wed May 06 16:17:44 +0000 2009,"Totally not Yellow Peril racist of CNN and other mainstream media to treason-bait Eileen Gu, but keep respectfully… https://t.co/Q0xbfjRBCU",7,8532.319,0.107,-0.017,-763,-48709,"['yellow', 'rt', 'respectfully', 'markamesexiled', 'media', 'treasonbait', 'peril', 'cnn', 'keep', 'totally', 'quie…', 'gu', 'racist', 'mainstream', 'eileen']",0.7522,Positive,"['yellow', 'media', 'treasonbait', 'peril', 'cnn', 'keep', 'httpstcoq0xbfjrbcu', 'totally', 'gu', 'racist', 'respectfully…', 'mainstream', 'eileen']",0.435,Positive
1583,RT,youngGroupon55,91,317,0,8848,Sun Jun 11 18:09:16 +0000 2017,RT @willmenaker: I support Eileen Gu's decision to compete for China because she's hot,2,366.439,0.09,willmenaker,162828,2423,1176,107505,Thu May 23 02:00:42 +0000 2013,I support Eileen Gu's decision to compete for China because she's hot,3,2125.333,0.088,0.0020000000000000018,-1176,-162737,"['compete', 'china', 'support', 'willmenaker', 'hot', 'decision', 'rt', 'gus', 'shes', 'eileen']",0.4019,Positive,"['compete', 'china', 'support', 'hot', 'decision', 'gus', 'shes', 'eileen']",0.4019,Positive
1584,RT,Anthony15770398,63,234,0,34816,Mon Aug 20 21:02:08 +0000 2018,RT @FoxNews: 'PICK A SIDE': @NikkiHaley rips into American-born skier competing for China at the Beijing Olympics. https://t.co/NnB72COXek…,1,0.0,0.105,FoxNews,20655184,263,70373,450759,Sat Mar 17 19:01:26 +0000 2007,'PICK A SIDE': @NikkiHaley rips into American-born skier competing for China at the Beijing Olympics.… https://t.co/4DFeHnFY0u,210,531337.517,0.13,-0.02500000000000001,-70373,-20655121,"['nikkihaley', 'rips', 'americanborn', 'httpstconnb72coxek…', 'competing', 'beijing', 'china', 'skier', 'olympics', 'rt', 'side', 'pick', 'foxnews']",0.0,Neutral,"['rips', 'nikkihaley', 'americanborn', 'competing', 'beijing', 'china', 'skier', 'olympics…', 'httpstco4dfehnfy0u', 'side', 'pick']",0.0,Neutral
1585,RT,MarvBrother,25,291,0,2657,Tue Feb 08 00:20:29 +0000 2022,RT @FoxNews: PICK A SIDE: Nikki Haley rips into American-born skier competing for China https://t.co/0moiE0wDDj,1,0.0,0.105,FoxNews,20655184,263,70373,450759,Sat Mar 17 19:01:26 +0000 2007,PICK A SIDE: Nikki Haley rips into American-born skier competing for China https://t.co/0moiE0wDDj,210,531337.517,0.13,-0.02500000000000001,-70373,-20655159,"['rips', 'americanborn', 'haley', 'competing', 'china', 'skier', 'nikki', 'httpstco0moie0wddj', 'rt', 'side', 'pick', 'foxnews']",0.0,Neutral,"['rips', 'americanborn', 'haley', 'competing', 'china', 'skier', 'nikki', 'httpstco0moie0wddj', 'side', 'pick']",0.0,Neutral
